Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,16698435,MKhlystun,"2026-08-12 12:03:09",0.946,6,mkhlystun
2,16687973,CloseAI,"2026-08-12 01:19:10",0.944,10,"devansh26,liaoyixu"
3,16677738,"Lukas Nissen Molvær","2026-08-12 12:08:09",0.943,7,lukasnissenmolvr
4,16674959,"Brandon Low","2026-08-12 09:10:05",0.942,30,zxkyouma
5,16679386,"Pizza Boy","2026-08-11 20:15:43",0.941,25,pizzaboythe3rd
6,16687458,JOLEE,"2026-08-09 10:56:56",0.938,2,leejung209
7,16682597,"Sida Zuo","2026-08-12 11:18:37",0.937,9,sidazuo
8,16671004,"Aastik Rajan15","2026-08-12 06:43:17",0.936,18,aastikrajan15
9,16683744,"codex rybaka","2026-08-11 04:42:54",0.935,11,yuriplot
10,16679132,Ignat,"2026-08-11 22:33:22",0.934,14,ignatgotin
11,16670390,Siontist,"2026-08-12 15:11:41",0.932,5,timothyossowski
12,16670790,Ichigo_E,"2026-08-11 06:11:37",0.931,1,ichigoe
13,16687899,rhoskeri,"2026-08-10 16:48:50",0.930,1,rhoskeri
14,16679645,qkrtkddnjs,"2026-08-09 05:30:22",0.930,8,qwrfsdr
15,16679219,YassY_The_AlchemYst,"2026-08-12 09:24:27",0.929,15,yassineelhallaoui
16,16669560,"Mehmet Özer","2026-08-11 21:41:18",0.929,17,ozermehmet
17,16674421,"all you need is VRAM","2026-08-11 21:52:52",0.928,12,grennwolf
18,16684062,Raihan🇧🇩,"2026-08-12 15:15:43",0.928,9,raihanjs
19,16698608,"Wei Xin Lim","2026-08-12 11:58:01",0.928,3,weixinlim
20,16685131,jcrudy,"2026-08-11 23:30:17",0.928,10,jcrudy
21,16685295,"Dominik 🇵🇱","2026-08-12 06:48:30",0.928,15,dudzia
22,16679583,"Marcin Jarosz","2026-08-12 15:07:17",0.927,19,mjarosz
23,16672669,1c,"2026-08-11 18:24:37",0.926,10,rian55
24,16674635,"Sebastian Mondragon","2026-08-12 02:36:25",0.926,4,basmondragon
25,16680000,Daaky,"2026-08-11 01:52:18",0.926,4,akihikowada
26,16668929,"kaggle & graduate trade-off","2026-08-12 09:03:01",0.926,12,"chengtingyi,ggayoayogg,p4rallax"
27,16669013,Ousagi,"2026-08-11 09:10:17",0.924,2,enzowalter
28,16683099,"John Park","2026-08-11 07:24:43",0.924,20,sigint
29,16669696,Chikuwabu,"2026-08-12 13:31:12",0.924,8,prgckwb
30,16686656,darijan,"2026-08-12 15:52:11",0.923,11,darijan
31,16692318,redblackberry,"2026-08-10 11:48:13",0.923,4,redblackberry
32,16686442,"Amal Saad Alshehri","2026-08-11 18:11:22",0.923,6,amalalshehri
33,16674489,Coffeethefifth,"2026-08-11 01:49:21",0.920,3,okilireaya
34,16682810,Jazztarou,"2026-08-12 06:48:13",0.919,6,jazztarou
35,16680059,"Zhizhou Sha","2026-08-12 10:32:37",0.919,22,zhizhousha
36,16668884,"Tony Li","2026-08-12 16:28:47",0.919,25,tonylica
37,16675117,jimmyYang1016,"2026-08-10 12:28:16",0.919,12,jimmyyang1016
38,16673578,ji-ma,"2026-08-09 18:13:47",0.918,8,nkjima
39,16669895,Volkopat,"2026-08-12 06:15:59",0.918,11,volkopat
40,16670197,suguuuuu,"2026-08-12 12:46:23",0.918,9,sugupoko
41,16671273,tyamanashi,"2026-08-12 14:41:09",0.918,10,tyamanashi
42,16690081,tam,"2026-08-11 08:22:08",0.917,5,tomkake
43,16670470,"Homin Park","2026-08-11 21:10:08",0.917,9,powersimmani
44,16668815,"Fabian Friedland","2026-08-11 02:41:19",0.916,24,fabotelli
45,16683273,"Andy Xu","2026-08-11 05:12:43",0.916,4,ayzxu8
46,16687712,"Romain Hardy","2026-08-12 03:10:22",0.916,6,romainhardy
47,16669055,DECEM,"2026-08-12 05:47:54",0.916,11,zy1343930734
48,16690655,"Matteo Vitali","2026-08-12 11:58:14",0.915,9,matteovitali1004
